,Spot_id,Spot_name,City_id,Country_id,Open_times,Close_times,Ticket,Est_duration,Score,Postal,Gourmet,Cultural,Downtown,Resort,Bustle,Family,Shopping,Parks,Museums,Observation_deck,Gardens,Zoo,Themeparks,Neighbourhoods,Religious_Sites,Landmarks,Historical_Sites,Island,Shopping_Malls,Bridges,Activities,Beaches
38,41,Singapore_Flyer,0,0,"8:30,8:30,8:30,8:30,8:30,8:30,8:30","20:00,20:00,20:00,20:00,20:00,20:00,20:00",24,120,4.704,39803,0.024,0.104,0.048,0.1,0.384,0.261,0.08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,42,Singapore_Zoo,0,0,"8:30,8:30,8:30,8:30,8:30,8:30,8:30","18:00,18:00,18:00,18:00,18:00,18:00,18:00",42,240,4.529,628925,0.017,0.055,0.018,0.128,0.156,0.606,0.019,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,44,Sri_Mariamman_Temple,0,0,"7:00,7:00,7:00,7:00,7:00,7:00,7:00","11:30,11:30,11:30,11:30,11:30,11:30,11:30",0,60,4.006,58793,0.021,0.469,0.031,0.104,0.284,0.04,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,45,Sri_Veeramakaliamman_Temple,0,0,"5:00,5:00,5:00,5:00,5:00,5:00,5:00","21:00,21:00,21:00,21:00,21:00,21:00,21:00",0,60,4.248,218042,0.035,0.298,0.03,0.081,0.46,0.04,0.056,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,48,Suntec_City,0,0,"10:00,10:00,10:00,10:00,10:00,10:00,10:00","22:00,22:00,22:00,22:00,22:00,22:00,22:00",0,180,3.938,38983,0.025,0.03,0.093,0.023,0.05,0.028,0.751,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43,49,Takashimaya_Singapore,0,0,"10:00,10:00,10:00,10:00,10:00,10:00,10:00","21:30,21:30,21:30,21:30,21:30,21:30,21:30",0,60,4.241,238873,0.04,0.038,0.079,0.026,0.086,0.039,0.691,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,50,The_Helix_Bridge,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,4.349,38981,0.007,0.381,0.136,0.151,0.111,0.03,0.185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
45,51,The_Intan,0,0,"7:00,7:00,7:00,7:00,7:00,7:00,7:00","22:00,22:00,22:00,22:00,22:00,23:00,23:00",0,60,4.795,427231,0.082,0.821,0.005,0.013,0.015,0.058,0.006,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,52,The_Shoppes_at_Marina_Bay_Sands,0,0,"10:00,10:00,10:00,10:00,10:00,10:00,10:00","23:00,23:00,23:00,23:00,23:00,23:59,23:59",0,180,4.285,18972,0.019,0.064,0.068,0.034,0.044,0.024,0.747,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
47,53,The_Southern_Ridges,0,0,"0:00,0:00,0:00,0:00,0:00,0:00,0:00","23:59,23:59,23:59,23:59,23:59,23:59,23:59",0,60,4.566,99203,0.008,0.12,0.064,0.53,0.105,0.085,0.088,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,55,VivoCity,0,0,"10:00,10:00,10:00,10:00,10:00,10:00,10:00","22:00,22:00,22:00,22:00,22:00,22:00,22:00",0,180,4.202,98585,0.02,0.025,0.069,0.035,0.062,0.069,0.721,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
